Pacote ID;Pacote Nome;Item Contratual;Descrição Item;Unid Item;Coef;Unid Coef;Tipo;Item Planilha
P37C;Muros B e C — 3. Fuste (parede);07-19-00;Barbacãs de tubos de PVC — diâmetro 4";UN;0,639053;un/ML;Manual;177-G
P37D;Muros B e C — 4. Reaterro e acabamento;04-08-00;Reaterro compactado de fundação;M3;5,58698;m³/ML;Manual;173
P37D;Muros B e C — 4. Reaterro e acabamento;04-31-00;Fornecimento de terra (escavação, carga e transporte até 1,0 km);M3;2,23123;m³/ML;Manual;177-J
P37D;Muros B e C — 4. Reaterro e acabamento;04-60-00;Remoção de terra além do 1º km;M3XKM;103,306;m³xkm/ML;Manual;171
P37D;Muros B e C — 4. Reaterro e acabamento;17-05-24;DP.04 — corrimão em tubo galvanizado;M;0,659172;m/ML;Manual;177-D
P37D;Muros B e C — 4. Reaterro e acabamento;17-05-25;DP.05 — corrimão em tubo galvanizado c/ guarda-corpo;M;0,392899;m/ML;Manual;177-E
P38A;Muro D — 1. Escavação e fundação;04-01-00;Escavação manual p/ fundações e valas (h ≤ 1,50 m);M3;11,0347;m³/ML;Manual;169
P38A;Muro D — 1. Escavação e fundação;04-11-00;Escavação mecânica, carga e remoção até 1,0 km;M3;25,7476;m³/ML;Manual;169-A
P38A;Muro D — 1. Escavação e fundação;04-15-00;Carga e remoção de terra até 1,0 km;M3;36,7823;m³/ML;Manual;170
P38A;Muro D — 1. Escavação e fundação;04-60-00;Remoção de terra além do 1º km;M3XKM;1192,11;m³xkm/ML;Manual;171
P38A;Muro D — 1. Escavação e fundação;05.09.007;Taxa de destinação de resíduo sólido em aterro;M3;25,7476;m³/ML;Manual;172
P38A;Muro D — 1. Escavação e fundação;05-20-00;Fundação de rachão;M3;0,5;m³/ML;Manual;177-B
P38A;Muro D — 1. Escavação e fundação;05-48-00;Base de brita graduada;M3;0,1;m³/ML;Manual;177-A
P38A;Muro D — 1. Escavação e fundação;06-06-00;Lastro de concreto FCK = 10 MPa;M3;0,29;m³/ML;Manual;174
P38B;Muro D — 2. Sapata (base);02-03-01;Forma comum de tábuas de pinus;M2;1,68846;m²/ML;Manual;175
P38B;Muro D — 2. Sapata (base);07-10-00;Aço CA-50 — diâmetro ≥ 1/2";KG;71,6607;kg/ML;Manual;176
P38B;Muro D — 2. Sapata (base);07-09-00;Aço CA-50 — diâmetro < 1/2";KG;46,826;kg/ML;Manual;177-C
P38B;Muro D — 2. Sapata (base);03-03-20;Concreto FCK = 30 MPa — usinado;M3;0,7875;m³/ML;Manual;177
P38C;Muro D — 3. Fuste (parede);02-03-01;Forma comum de tábuas de pinus;M2;6,14846;m²/ML;Manual;175
P38C;Muro D — 3. Fuste (parede);07-10-00;Aço CA-50 — diâmetro ≥ 1/2";KG;74,3906;kg/ML;Manual;176
P38C;Muro D — 3. Fuste (parede);07-09-00;Aço CA-50 — diâmetro < 1/2";KG;48,6099;kg/ML;Manual;177-C
P38C;Muro D — 3. Fuste (parede);03-03-20;Concreto FCK = 30 MPa — usinado;M3;0,8175;m³/ML;Manual;177
P38C;Muro D — 3. Fuste (parede);08-18-02;Cimbramento metálico de altura maior que 3,00 m;M3;1,525;m³/ML;Manual;177-H
P38C;Muro D — 3. Fuste (parede);07-19-00;Barbacãs de tubos de PVC — diâmetro 4";UN;0,769231;un/ML;Manual;177-G
P38D;Muro D — 4. Reaterro e acabamento;04-08-00;Reaterro compactado de fundação;M3;15,089;m³/ML;Manual;173
P38D;Muro D — 4. Reaterro e acabamento;04-31-00;Fornecimento de terra (escavação, carga e transporte até 1,0 km);M3;6,02597;m³/ML;Manual;177-J
P38D;Muro D — 4. Reaterro e acabamento;04-60-00;Remoção de terra além do 1º km;M3XKM;279,002;m³xkm/ML;Manual;171
P39A;Muro E — 1. Escavação e fundação;04-01-00;Escavação manual p/ fundações e valas (h ≤ 1,50 m);M3;2,71311;m³/ML;Manual;169
P39A;Muro E — 1. Escavação e fundação;04-11-00;Escavação mecânica, carga e remoção até 1,0 km;M3;6,33059;m³/ML;Manual;169-A
P39A;Muro E — 1. Escavação e fundação;04-15-00;Carga e remoção de terra até 1,0 km;M3;9,0437;m³/ML;Manual;170
P39A;Muro E — 1. Escavação e fundação;04-60-00;Remoção de terra além do 1º km;M3XKM;293,106;m³xkm/ML;Manual;171
P39A;Muro E — 1. Escavação e fundação;05.09.007;Taxa de destinação de resíduo sólido em aterro;M3;6,33059;m³/ML;Manual;172
P39A;Muro E — 1. Escavação e fundação;05-20-00;Fundação de rachão;M3;1,3;m³/ML;Manual;177-B
P39A;Muro E — 1. Escavação e fundação;05-48-00;Base de brita graduada;M3;0,26;m³/ML;Manual;177-A
P39A;Muro E — 1. Escavação e fundação;06-06-00;Lastro de concreto FCK = 10 MPa;M3;0,26;m³/ML;Manual;174
P39B;Muro E — 2. Sapata (base);02-03-01;Forma comum de tábuas de pinus;M2;0,75;m²/ML;Manual;175
P39B;Muro E — 2. Sapata (base);07-10-00;Aço CA-50 — diâmetro ≥ 1/2";KG;70,4827;kg/ML;Manual;176
P39B;Muro E — 2. Sapata (base);07-09-00;Aço CA-50 — diâmetro < 1/2";KG;3,84185;kg/ML;Manual;177-C
P39B;Muro E — 2. Sapata (base);03-03-20;Concreto FCK = 30 MPa — usinado;M3;0,72;m³/ML;Manual;177
P39C;Muro E — 3. Fuste (parede);02-03-01;Forma comum de tábuas de pinus;M2;4,7157;m²/ML;Manual;175
P39C;Muro E — 3. Fuste (parede);07-10-00;Aço CA-50 — diâmetro ≥ 1/2";KG;76,0136;kg/ML;Manual;176
P39C;Muro E — 3. Fuste (parede);07-09-00;Aço CA-50 — diâmetro < 1/2";KG;4,14333;kg/ML;Manual;177-C
P39C;Muro E — 3. Fuste (parede);03-03-20;Concreto FCK = 30 MPa — usinado;M3;0,7765;m³/ML;Manual;177
P39C;Muro E — 3. Fuste (parede);08-18-02;Cimbramento metálico de altura maior que 3,00 m;M3;1,175;m³/ML;Manual;177-H
P39C;Muro E — 3. Fuste (parede);07-19-00;Barbacãs de tubos de PVC — diâmetro 4";UN;0,666667;un/ML;Manual;177-G
P39D;Muro E — 4. Reaterro e acabamento;04-08-00;Reaterro compactado de fundação;M3;5,48519;m³/ML;Manual;173
P39D;Muro E — 4. Reaterro e acabamento;04-31-00;Fornecimento de terra (escavação, carga e transporte até 1,0 km);M3;2,19058;m³/ML;Manual;177-J
P39D;Muro E — 4. Reaterro e acabamento;04-60-00;Remoção de terra além do 1º km;M3XKM;101,424;m³xkm/ML;Manual;171
P40;Rampa da escola (junto ao Muro C2);13.02.11;Piso estrutural em concreto armado — 7 cm;M2;1;m²/m²;Auto;177-I
P40;Rampa da escola (junto ao Muro C2);05-48-00;Base de brita graduada;M3;0,1;m³/m²;Manual;177-A
P40;Rampa da escola (junto ao Muro C2);13-02-47;Piso podotátil, alerta ou direcional, ladrilho hidráulico;M2;0,062443;m²/m²;Manual;177-F
